MsgNum, Byte, GRIB-Version, elem, level, reference(UTC), valid(UTC), Proj(hr)
1.0, 0, 1, MSLET="Mean sea level pressure (ETA model) [Pa]", 0-MSL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
2.0, 166602, 1, PRMSL="Pressure reduced to MSL [Pa]", 0-MSL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
3.0, 333204, 1, PRES="Pressure [Pa]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
4.0, 440414, 1, HGT="Geopotential height [gpm]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
5.0, 607016, 1, TMP="Temperature [K]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
6.0, 749862, 1, POT="Potential temperature [K]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
7.0, 892708, 1, RH="Relative humidity [%]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
8.0, 1035554, 1, SPFH="Specific humidity [kg/kg]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
9.0, 1178400, 1, MCONV="Horizontal moisture divergence [kg/kg/s]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
10.0, 1309368, 1, UGRD="u-component of wind [m/s]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
11.0, 1464138, 1, VGRD="v-component of wind [m/s]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
12.0, 1618908, 1, VVEL="Vertical velocity (pressure) [Pa/s]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
13.0, 1737998, 1, TKE="Turbulent Kinetic Energy [J/kg]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
14.0, 1833330, 1, VIS="Visibility [m]", 0-SFC, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
15.0, 1928662, 1, HPBL="Planetary boundary layer height [m]", 0-SFC, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
16.0, 2130898, 1, BMIXL="Blackadars mixing length scale [m]", 1-HYBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
17.0, 2261866, 1, HGT="Geopotential height [gpm]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
18.0, 2416590, 1, TMP="Temperature [K]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
19.0, 2571314, 1, SPFH="Specific humidity [kg/kg]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
20.0, 2737916, 1, VVEL="Vertical velocity (pressure) [Pa/s]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
21.0, 2833248, 1, UGRD="u-component of wind [m/s]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
22.0, 2988018, 1, VGRD="v-component of wind [m/s]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
23.0, 3142788, 1, CLWMR="Cloud water [kg/kg]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
24.0, 3154974, 1, ICMR="Ice mixing ratio [kg/kg]", 100-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
25.0, 3285942, 1, HGT="Geopotential height [gpm]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
26.0, 3440666, 1, TMP="Temperature [K]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
27.0, 3583512, 1, SPFH="Specific humidity [kg/kg]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
28.0, 3738236, 1, VVEL="Vertical velocity (pressure) [Pa/s]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
29.0, 3845446, 1, UGRD="u-component of wind [m/s]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
30.0, 4012098, 1, VGRD="v-component of wind [m/s]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
31.0, 4166868, 1, CLWMR="Cloud water [kg/kg]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
32.0, 4179054, 1, ICMR="Ice mixing ratio [kg/kg]", 125-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
33.0, 4286264, 1, HGT="Geopotential height [gpm]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
34.0, 4440988, 1, TMP="Temperature [K]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
35.0, 4583834, 1, SPFH="Specific humidity [kg/kg]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
36.0, 4750436, 1, VVEL="Vertical velocity (pressure) [Pa/s]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
37.0, 4857646, 1, UGRD="u-component of wind [m/s]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
38.0, 5024298, 1, VGRD="v-component of wind [m/s]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
39.0, 5179068, 1, CLWMR="Cloud water [kg/kg]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
40.0, 5191254, 1, ICMR="Ice mixing ratio [kg/kg]", 150-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
41.0, 5322222, 1, HGT="Geopotential height [gpm]", 175-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
42.0, 5476946, 1, TMP="Temperature [K]", 175-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
43.0, 5619792, 1, SPFH="Specific humidity [kg/kg]", 175-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
44.0, 5762638, 1, VVEL="Vertical velocity (pressure) [Pa/s]", 175-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
45.0, 5881728, 1, UGRD="u-component of wind [m/s]", 175-ISBL, 01/02/2006 00:00, 01/02/2006 00:00, 0.00
